2024-12-18 16:46:05,944 - INFO - Received valid ACK 17 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,952 - INFO - Received valid ACK 17 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,960 - INFO - Received valid ACK 17 from ('127.0.0.1', 63578)
2024-12-18 16:46:05,968 - INFO - Received valid ACK 17 from ('127.0.0.1', 52603)
2024-12-18 16:46:05,976 - INFO - Received valid ACK 18 from ('127.0.0.1', 51982)
2024-12-18 16:46:05,984 - INFO - Received valid ACK 18 from ('127.0.0.1', 52525)
2024-12-18 16:46:05,994 - INFO - Received valid ACK 18 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,003 - INFO - Received valid ACK 18 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,014 - INFO - Received valid ACK 19 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,027 - INFO - Received valid ACK 19 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,037 - INFO - Received valid ACK 19 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,048 - INFO - Received valid ACK 19 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,059 - INFO - Received valid ACK 20 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,070 - INFO - Received valid ACK 20 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,082 - INFO - Received valid ACK 20 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,094 - INFO - Received valid ACK 20 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,107 - INFO - Received valid ACK 21 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,119 - INFO - Received valid ACK 21 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,128 - INFO - Received valid ACK 21 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,142 - INFO - Received valid ACK 21 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,154 - INFO - Received valid ACK 22 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,166 - INFO - Received valid ACK 22 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,177 - INFO - Received valid ACK 22 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,189 - INFO - Received valid ACK 22 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,200 - INFO - Received valid ACK 23 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,211 - INFO - Received valid ACK 23 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,223 - INFO - Received valid ACK 23 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,235 - INFO - Received valid ACK 23 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,244 - INFO - Received valid ACK 24 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,254 - INFO - Received valid ACK 24 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,263 - INFO - Received valid ACK 24 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,271 - INFO - Received valid ACK 24 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,279 - INFO - Received valid ACK 25 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,287 - INFO - Received valid ACK 25 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,295 - INFO - Received valid ACK 25 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,303 - INFO - Received valid ACK 25 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,311 - INFO - Received valid ACK 26 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,319 - INFO - Received valid ACK 26 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,327 - INFO - Received valid ACK 26 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,335 - INFO - Received valid ACK 26 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,343 - INFO - Received valid ACK 27 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,353 - INFO - Received valid ACK 27 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,362 - INFO - Received valid ACK 27 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,372 - INFO - Received valid ACK 27 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,381 - INFO - Received valid ACK 28 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,390 - INFO - Received valid ACK 28 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,398 - INFO - Received valid ACK 28 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,406 - INFO - Received valid ACK 28 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,414 - INFO - Received valid ACK 29 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,422 - INFO - Received valid ACK 29 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,430 - INFO - Received valid ACK 29 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,437 - INFO - Received valid ACK 29 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,446 - INFO - Received valid ACK 30 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,454 - INFO - Received valid ACK 30 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,462 - INFO - Received valid ACK 30 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,470 - INFO - Received valid ACK 30 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,479 - INFO - Received valid ACK 31 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,489 - INFO - Received valid ACK 31 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,500 - INFO - Received valid ACK 31 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,510 - INFO - Received valid ACK 31 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,517 - INFO - Received valid ACK 32 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,525 - INFO - Received valid ACK 32 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,532 - INFO - Received valid ACK 32 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,541 - INFO - Received valid ACK 32 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,548 - INFO - Received valid ACK 33 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,557 - INFO - Received valid ACK 33 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,564 - INFO - Received valid ACK 33 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,572 - INFO - Received valid ACK 33 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,580 - INFO - Received valid ACK 34 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,588 - INFO - Received valid ACK 34 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,596 - INFO - Received valid ACK 34 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,604 - INFO - Received valid ACK 34 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,612 - INFO - Received valid ACK 35 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,619 - INFO - Received valid ACK 35 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,628 - INFO - Received valid ACK 35 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,637 - INFO - Received valid ACK 35 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,645 - INFO - Received valid ACK 36 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,652 - INFO - Received valid ACK 36 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,660 - INFO - Received valid ACK 36 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,667 - INFO - Received valid ACK 36 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,676 - INFO - Received valid ACK 37 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,683 - INFO - Received valid ACK 37 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,692 - INFO - Received valid ACK 37 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,699 - INFO - Received valid ACK 37 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,707 - INFO - Received valid ACK 38 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,715 - INFO - Received valid ACK 38 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,723 - INFO - Received valid ACK 38 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,732 - INFO - Received valid ACK 38 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,742 - INFO - Received valid ACK 39 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,751 - INFO - Received valid ACK 39 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,762 - INFO - Received valid ACK 39 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,773 - INFO - Received valid ACK 39 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,781 - INFO - Received valid ACK 40 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,789 - INFO - Received valid ACK 40 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,797 - INFO - Received valid ACK 40 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,805 - INFO - Received valid ACK 40 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,813 - INFO - Received valid ACK 41 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,821 - INFO - Received valid ACK 41 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,829 - INFO - Received valid ACK 41 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,836 - INFO - Received valid ACK 41 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,845 - INFO - Received valid ACK 42 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,852 - INFO - Received valid ACK 42 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,860 - INFO - Received valid ACK 42 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,868 - INFO - Received valid ACK 42 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,904 - INFO - Received valid ACK 43 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,928 - INFO - Received valid ACK 43 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,936 - INFO - Received valid ACK 43 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,946 - INFO - Received valid ACK 43 from ('127.0.0.1', 52603)
2024-12-18 16:46:06,953 - INFO - Received valid ACK 44 from ('127.0.0.1', 51982)
2024-12-18 16:46:06,961 - INFO - Received valid ACK 44 from ('127.0.0.1', 52525)
2024-12-18 16:46:06,968 - INFO - Received valid ACK 44 from ('127.0.0.1', 63578)
2024-12-18 16:46:06,976 - INFO - Received valid ACK 44 from ('127.0.0.1', 52603)
